"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.4044329,,
"USA","United States","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,7.25,,
"DEU","Germany","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,9.7921472,,
"DEU","Germany","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,9.745044,,
"DEU","Germany","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,9.9617195,,
"DEU","Germany","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,10.41457,,
"DEU","Germany","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.364473,,
"DEU","Germany","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.594921,,
"BRA","Brazil","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,1.4204353,,
"BRA","Brazil","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,1.4587876,,
"BRA","Brazil","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,1.5015291,,
"BRA","Brazil","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.0429356,,
"BRA","Brazil","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.0980956,,
"BRA","Brazil","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.1595683,,
"RUS","Russian Federation","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.6527422,,
"RUS","Russian Federation","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.6343367,,
"RUS","Russian Federation","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.7543981,,
"RUS","Russian Federation","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,1.493297,,
"RUS","Russian Federation","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,1.4511903,,
"RUS","Russian Federation","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,1.725858,,
"LTU","Lithuania","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.0357257,,
"LTU","Lithuania","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.3537,,
"LTU","Lithuania","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.463724,,
"LTU","Lithuania","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,3.5160288,,
"LTU","Lithuania","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.065222,,
"LTU","Lithuania","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.2552514,,
"LVA","Latvia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.3813579,,
"LVA","Latvia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.4404092,,
"LVA","Latvia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.463724,,
"LVA","Latvia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,3.6725416,,
"LVA","Latvia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,3.7636108,,
"LVA","Latvia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,3.7995672,,
"COL","Colombia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,1.1739683,,
"COL","Colombia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,1.1683608,,
"COL","Colombia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,1.1984435,,
"COL","Colombia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.4878612,,
"COL","Colombia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.4759779,,
"COL","Colombia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.5397289,,
"CRI","Costa Rica","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.1382014,,
"CRI","Costa Rica","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.1985725,,
"CRI","Costa Rica","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.1634016,,
